見出し,電話,ファックス,住所,開館時間,休館日,催し名,区分,開催日,場所,対象,定員,費用,申込,備考
県立近代美術館,073-436-8690　,073-436-1337 ,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,コレクション展2018-春夏 特集「庭園の眺め　高橋力雄の木版画」／「滋賀県立近代美術館所蔵　院展の画家たちⅡ」,展示,～7月8日（日）,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立近代美術館,073-436-8690　,073-436-1337 ,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,企画展「なつやすみの美術館８　タイムトラベル」,展示,7月7日(土）～9月2日（日）,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立博物館,073-436-8670,073-436-6643,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,夏休み企画展「城下町和歌山を歩こう」,展示,7月14日（土）～8月26日（日）,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,夏休み企画展「学校にあるたからものⅡ」,展示,7月21日（土）～9月2日（日）9:00～16:30,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,連続講座「岩橋千塚(6)」,イベント,7月29日（日）13:30～15:30,,小学生以上,30人（先着順）,,7月13日13:00～,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777　,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,君もめざそう！きのくに子ども自然博士(1)昆虫子ども博士コース,イベント,7月26日（木）～27日（金）1泊2日,大川周辺（和歌山市）,小学5年～高校3年生,10人（抽選）,"3,000円",7月12日まで,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777　,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,君もめざそう！きのくに子ども自然博士(2)地学子ども博士コース,イベント,7月31日（火）～8月2日（木）2泊3日,白崎青少年の家周辺（由良町）,小学5年～高校3年生,12人（抽選）,"12,000円",7月17日まで,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777　,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,夜の水族館をのぞいてみよう,イベント,8月7日（火）～8日（水）1泊2日,,小学5年～高校3年生 ,20人（抽選）,"2,500円",7月24日まで,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立図書館,073-436-9500　,073-436-9501,〒641-0051　和歌山市西高松1-7-38,9:00～19:00（土日祝は18:00まで）,休館／月曜（祝日の場合は次の平日）、毎月第2木曜,サマー遊ing2018 勾玉づくり、貝殻細工教室など,イベント,7月24日（火）～7月27日（金）,,,,,,教室の内容、費用などは詳しくは要問合せ
県立図書館,073-436-9500　,073-436-9501,〒641-0051　和歌山市西高松1-7-38,9:00～19:00（土日祝は18:00まで）,休館／月曜（祝日の場合は次の平日）、毎月第2木曜,図書館で涼もう！2018　手話にふれよう！,イベント,8月22日(水）14：00～15：00,,小学3年生以上,30人（先着順）,,7月13日～8月15日,　
